Folder,CPU_cost,L1,L1_cost,L2,L2_cost,L3,L3_cost,L3slices,LQ,Memory_cost,NoC_cost,ROB,SQ,Total_cost,Wc,Wd,Wf,Wi,Wr,Ww,cores,fpRegs,intRegs,simSeconds
run1,208.18,32.0,48.0,256.0,64.0,2048.0,32.0,1.0,128.0,130.0,210.0,50.0,128.0,692.0,12.0,10.0,12.0,12.0,10.0,10.0,4.0,50.0,50.0,0.001955
run2,208.18,32.0,48.0,512.0,128.0,4096.0,64.0,1.0,128.0,130.0,210.0,50.0,128.0,788.0,12.0,10.0,12.0,12.0,10.0,10.0,4.0,50.0,50.0,0.001926
run3,208.18,32.0,48.0,512.0,128.0,8192.0,128.0,1.0,128.0,130.0,210.0,50.0,128.0,852.0,12.0,10.0,12.0,12.0,10.0,10.0,4.0,50.0,50.0,0.001793
run4,208.18,32.0,48.0,1024.0,256.0,4096.0,64.0,1.0,128.0,130.0,210.0,50.0,128.0,916.0,12.0,10.0,12.0,12.0,10.0,10.0,4.0,50.0,50.0,0.001992
run5,208.18,32.0,48.0,1024.0,256.0,8192.0,128.0,1.0,128.0,130.0,210.0,50.0,128.0,980.0,12.0,10.0,12.0,12.0,10.0,10.0,4.0,50.0,50.0,0.001929
run6,209.69,32.0,48.0,512.0,128.0,4096.0,64.0,1.0,128.0,130.0,210.0,96.0,128.0,790.0,12.0,12.0,12.0,12.0,10.0,10.0,4.0,50.0,50.0,0.001966
run7,211.2,32.0,48.0,512.0,128.0,4096.0,64.0,1.0,128.0,130.0,210.0,128.0,128.0,791.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,64.0,64.0,0.001693
run8,213.76,32.0,48.0,512.0,128.0,4096.0,64.0,1.0,128.0,130.0,210.0,192.0,128.0,794.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001513
run9,210.93,32.0,48.0,1024.0,256.0,4096.0,64.0,1.0,128.0,130.0,210.0,128.0,128.0,919.0,12.0,12.0,12.0,12.0,10.0,10.0,4.0,64.0,64.0,0.001643
run10,209.97,32.0,48.0,1024.0,256.0,8192.0,128.0,1.0,128.0,130.0,210.0,96.0,128.0,982.0,12.0,10.0,12.0,12.0,12.0,10.0,4.0,64.0,64.0,0.001663
run11,209.97,32.0,48.0,512.0,128.0,4096.0,64.0,1.0,128.0,130.0,210.0,96.0,128.0,790.0,12.0,10.0,12.0,12.0,12.0,10.0,4.0,64.0,64.0,0.001741
run12,209.97,32.0,48.0,1024.0,256.0,4096.0,64.0,1.0,128.0,130.0,210.0,96.0,128.0,918.0,12.0,10.0,12.0,12.0,12.0,10.0,4.0,64.0,64.0,0.001629
run13,209.97,32.0,48.0,512.0,128.0,8192.0,128.0,1.0,128.0,130.0,210.0,96.0,128.0,854.0,12.0,12.0,12.0,12.0,10.0,10.0,4.0,64.0,64.0,0.001694
run14,210.75,32.0,48.0,512.0,128.0,4096.0,64.0,1.0,128.0,130.0,210.0,96.0,128.0,791.0,12.0,12.0,12.0,12.0,12.0,10.0,4.0,96.0,96.0,0.001572
run15,211.84,32.0,48.0,1024.0,256.0,4096.0,64.0,1.0,128.0,130.0,210.0,128.0,128.0,920.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.00159
run16,210.24,32.0,48.0,1024.0,256.0,8192.0,128.0,1.0,128.0,130.0,210.0,96.0,128.0,982.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,64.0,64.0,0.001667
run17,209.97,32.0,48.0,1024.0,256.0,8192.0,128.0,1.0,128.0,130.0,210.0,96.0,128.0,982.0,12.0,12.0,12.0,12.0,10.0,10.0,4.0,64.0,64.0,0.001701
run18,211.84,32.0,48.0,1024.0,256.0,4096.0,64.0,1.0,128.0,130.0,210.0,128.0,128.0,920.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001476
run19,211.84,32.0,48.0,2048.0,512.0,4096.0,64.0,1.0,128.0,130.0,210.0,128.0,128.0,1176.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001573
run20,239.84,32.0,48.0,2048.0,512.0,8192.0,128.0,1.0,192.0,130.0,210.0,192.0,192.0,1268.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001478
run20_6,359.76,32.0,72.0,2048.0,768.0,8192.0,128.0,1.0,192.0,130.0,300.0,192.0,192.0,1758.0,12.0,12.0,12.0,12.0,12.0,12.0,6.0,96.0,96.0,0.001526
run20_dual,239.84,32.0,48.0,2048.0,512.0,8192.0,128.0,1.0,192.0,221.0,210.0,192.0,192.0,1359.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001542
run21,210.11,32.0,48.0,768.0,192.0,8192.0,128.0,1.0,128.0,130.0,210.0,96.0,128.0,918.0,12.0,12.0,12.0,12.0,12.0,10.0,4.0,64.0,64.0,0.001556
run22,209.49,32.0,48.0,1024.0,256.0,6144.0,96.0,1.0,128.0,130.0,210.0,80.0,128.0,949.0,12.0,10.0,12.0,12.0,12.0,10.0,4.0,64.0,64.0,0.001596
run23,209.97,32.0,48.0,768.0,192.0,4096.0,64.0,1.0,128.0,130.0,210.0,96.0,128.0,854.0,12.0,12.0,12.0,12.0,10.0,10.0,4.0,64.0,64.0,0.001733
run24,210.43,32.0,48.0,1536.0,384.0,4096.0,64.0,1.0,128.0,130.0,210.0,96.0,128.0,1046.0,12.0,12.0,12.0,12.0,12.0,10.0,4.0,80.0,80.0,0.001518
run25,211.84,32.0,48.0,1024.0,256.0,8192.0,128.0,1.0,128.0,130.0,210.0,128.0,128.0,984.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001579
run_opt2,239.84,32.0,48.0,2048.0,512.0,8192.0,256.0,2.0,192.0,130.0,225.0,192.0,192.0,1411.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001925
run_opt3,239.84,32.0,48.0,1536.0,384.0,8192.0,128.0,1.0,192.0,130.0,210.0,192.0,192.0,1140.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.00187
run_opt4,239.84,32.0,48.0,2048.0,512.0,6144.0,96.0,1.0,192.0,130.0,210.0,192.0,192.0,1236.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,96.0,96.0,0.001474
run_opt5,238.56,32.0,48.0,2048.0,512.0,8192.0,128.0,1.0,192.0,130.0,210.0,160.0,192.0,1267.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,80.0,80.0,0.001521
run_opt6,238.61,32.0,48.0,1536.0,384.0,8192.0,128.0,1.0,192.0,130.0,210.0,160.0,192.0,1139.0,12.0,12.0,12.0,12.0,10.0,10.0,4.0,96.0,96.0,0.001608
run_opt7,238.11,32.0,48.0,2048.0,512.0,8192.0,128.0,1.0,192.0,130.0,210.0,160.0,192.0,1266.0,12.0,12.0,12.0,12.0,12.0,10.0,4.0,64.0,64.0,0.001624
run_opt8,236.05,32.0,48.0,2048.0,512.0,8192.0,128.0,1.0,192.0,130.0,210.0,96.0,192.0,1264.0,12.0,12.0,12.0,12.0,10.0,10.0,4.0,64.0,64.0,0.001685
